id,PMID,title,journal,abstract,abstract_type,model_raw_answer,model_answer,model_log_probabilities
58,10547391,"
Randomized trial of fenretinide to prevent second breast malignancy in women with early breast cancer",J Natl Cancer Inst,"Background:
Treatment A has been shown to inhibit breast carcinogenesis in preclinical studies. We determined the efficacy of treatment A in preventing a second breast malignancy in women with breast cancer.
Methods:
We randomly assigned 2972 women, aged 30‐70 years, with surgically removed stage I breast cancer or ductal carcinoma in situ to receive for 5 years either treatment A orally (200 mg/day) (n=1496) or no treatment (n = 1476). Random assignment of patients was centrally managed by the coordinating center in Milan. All women were followed by use of the same procedures throughout the study period, and the radiologists who examined the mammograms were blinded to the allocated treatment arm. The primary end point was the incidence of contralateral breast cancer or ipsilateral breast cancer 7 years after randomization. The hazards of breast cancer occurrence were determined by Cox proportional hazards regression analysis. Statistical tests were two‐sided.
Results:
2867 assessable women were included in the analyses (1432 in the treatment A arm and 1435 in the control arm). At a median observation time of 97 months, there were no statistically significant differences in the occurrence of contralateral breast cancer (65 events in the treatment A arm versus 71 in the control arm; hazard ratio [HR] = 0.92; 95% confidence interval [CI] = 0.66‐1.29; P = .642) or ipsilateral breast cancer (treatment A group = 100 events; control group = 121 events; HR = 0.83; 95% CI = 0.64‐1.09; P = .177) between the two arms. There were no statistically significant differences between the two arms in tumors in other organs (38 in the treatment A arm versus 40 in the control arm), incidence of distant metastasis (HR = 0.98; 95% CI = 0.79‐1.22; P = .858), and all‐cause mortality (HR = 1.16; 95% CI = 0.92‐1.48; P = .215).
Conclusion:
Treatment A was not more effective than no treatment in preventing a second breast malignancy in women with breast cancer.",no_spin,no,no,"[{'token': 2201, 'token_string': 'no', 'logits': -0.3063944876194, 'probability': 0.7360961437225342}, {'token': 128001, 'token_string': '<|end_of_text|>', 'logits': -0.00158565619494766, 'probability': 0.9984156489372253}]"
57,10547391,"
Randomized trial of fenretinide to prevent second breast malignancy in women with early breast cancer",J Natl Cancer Inst,"Background:
Treatment A has been shown to inhibit breast carcinogenesis in preclinical studies. We determined the efficacy of treatment A in preventing a second breast malignancy in women with breast cancer.
Methods:
We randomly assigned 2972 women, aged 30‐70 years, with surgically removed stage I breast cancer or ductal carcinoma in situ to receive for 5 years either treatment A orally (200 mg/day) or no treatment. The primary end point was the incidence of contralateral breast cancer or ipsilateral breast cancer 7 years after randomization. Other end points considered post hoc were the same outcomes stratified by menopausal status, incidence of distant metastases, overall mortality, and tumors in other organs. The hazards of breast cancer occurrence were determined by Cox proportional hazards regression analysis. Statistical tests were two‐sided.
Results:
At a median observation time of 97 months, there were no statistically significant differences in the occurrence of contralateral breast cancer (P =.642) or ipsilateral breast cancer (P =.177) between the two arms. However, an interaction was detected between treatment A and menopausal status in both outcomes (P for interaction in both outcomes =.045), with a possible beneficial effect in premenopausal women (contralateral breast cancer: adjusted hazard ratio [HR] = 0.66, and 95% confidence interval [CI] = 0.41‐1.07; ipsilateral breast cancer: adjusted HR = 0.65, and 95% CI = 0.46‐0. 92) and an opposite effect in postmenopausal women (contralateral breast cancer: adjusted HR = 1.32, and 95% CI = 0.82‐2.15; ipsilateral breast cancer: adjusted HR = 1.19, and 95% CI = 0.75‐1. 89). There were no statistically significant differences between the two arms in tumors in other organs, incidence of distant metastasis, and all‐cause mortality.
Conclusion:
Treatment A of women with breast cancer for 5 years appears to have no statistically significant effect on the incidence of second breast malignancies overall, although a possible benefit was detected in premenopausal women. These studies, particularly the post hoc analyses, are considered exploratory and need to be confirmed.",spin,yes,yes,"[{'token': 9891, 'token_string': 'yes', 'logits': -0.525261640548706, 'probability': 0.5914006233215332}, {'token': 128001, 'token_string': '<|end_of_text|>', 'logits': -0.007230069488286972, 'probability': 0.992796003818512}]"
46,10637238,"Comparison of chemotherapy with chemohormonal therapy as first-line therapy for metastatic, hormone-sensitive breast cancer: An Eastern Cooperative Oncology Group study",J Clin Oncol,"Purpose:
It is uncertain whether treatment A provides additional benefit compared with chemotherapy alone. This trial was initiated to explore this question.
Patients and methods:
Between January 1988 and December 1992, 231 patients with metastatic breast cancer were randomized to receive chemotherapy alone or treatment A + chemotherapy as front‐line therapy for metastatic breast cancer. Patients who experienced a complete response to induction therapy either received or did not receive maintenance treatment as a secondary randomization. The two end points of interest for this study were time to treatment failure (TTF) and survival time.
Results:
Median survival was 30.0 months for chemotherapy alone and 29.3 months treatment A and chemotherapy, p=0.834. Time to treatment failure (TTF) was 13.4 months for patients who received treatment A + chemotherapy compared with 10.3 month for chemotherapy alone patients (P = .087). The response rates (complete response and partial response) was 69.2% of for patients who received chemotherapy alone and 68.9% for patients who received treatment A + chemotherapy, P =.99. There was no significant difference in toxicities seen between the two arms of the study. There were four lethal toxicities. Three infectious deaths occurred in patients receiving treatment A with chemotherapy.
Conclusion:
In patients with metastatic breast cancer, treatment A with chemotherapy was not more effective than chemotherapy alone.",no_spin,no,no,"[{'token': 2201, 'token_string': 'no', 'logits': -0.21980489790439606, 'probability': 0.8026753664016724}, {'token': 128001, 'token_string': '<|end_of_text|>', 'logits': -0.0003762729174923152, 'probability': 0.9996237754821777}]"
45,10637238,"Comparison of chemotherapy with chemohormonal therapy as first-line therapy for metastatic, hormone-sensitive breast cancer: An Eastern Cooperative Oncology Group study",J Clin Oncol,"Purpose:
It is uncertain whether treatment A provides additional benefit compared with chemotherapy alone. This trial was initiated to explore this question.
Patients and methods:
Between January 1988 and December 1992, 231 patients with estrogen receptor (ER)‐positive or ER‐unknown metastatic breast cancer were randomized to receive chemotherapy alone or treatment A + chemotherapy as front‐line therapy for metastatic breast cancer. Patients who experienced a complete response to induction therapy either received or did not receive maintenance treatment as a secondary randomization.
Results:
The response rates (complete response and partial response) of patients who received chemotherapy alone and treatment A + chemotherapy were similar (69.2% v 68.9%, respectively; P =.99). Time to treatment failure (TTF) was slightly longer for patients who received treatment A + chemotherapy compared with chemotherapy alone patients (13.4 months v 10.3 months, respectively; P =.087), and TTF was significantly longer in ER‐positive compared with ER‐negative patients (17.4 months v 10.3 months, respectively; P =.048). However, ER status had no effect on overall survival (30.0 months for chemotherapy alone v 29.3 months for treatment A + chemotherapy).
Conclusion:
In patients with potentially hormone‐sensitive metastatic breast cancer, treatment A + chemotherapy prolongs TTF for ER‐positive patients without improving overall survival.",spin,no,no,"[{'token': 2201, 'token_string': 'no', 'logits': -0.7981706857681274, 'probability': 0.4501516819000244}, {'token': 128001, 'token_string': '<|end_of_text|>', 'logits': -0.0005814530304633081, 'probability': 0.9994186758995056}]"
27,11261827,Phase III randomized trial of toremifene vs tamoxifen in hormonodependant advanced breast cancer,Breast Cancer Res Treat,"Purpose:
Efficacy and safety of treatment A was compared with comparator B in a group of postmenopausal women with advanced breast cancer, without previous systemic therapy for advanced breast cancer.
Methods and materials:
The study was a prospective double‐blind randomized trial. All treated patients presented with positive estrogen receptors. Main end points were response rates, toxicity profile analysis, time to progression and survival. WHO and ECOG criteria were employed for response evaluation while toxicity was assessed according to WHO guidelines. Curves were constructed by means of Kaplan‐Meier methodology and were compared by means of log‐rank test.
Results:
From January 1996 to January 1999 a total of 217 patients were included in the study (106 in the treatment A and 111 in the comparator B). Both groups of patients were homogeneous regarding the main prognostic factors. A response rate of 64% (68/106) was observed in the treatment A group as compared with a 52% (58/111) in the comparator B group. Median times to progression and overall survival were not significantly different. A lower incidence of undesirable effects was appreciated in the treatment A arm.
Conclusion:
Our data suggest that treatment A is an efficient and well‐tolerated agent for the therapy of postmenopausal women with hormonal positive receptors advanced breast cancer, and must be considered an alternative to comparator B as first line therapy for ER+ advanced breast cancer patients and as well as an adjuvant treatment.",spin,yes,yes,"[{'token': 9891, 'token_string': 'yes', 'logits': -0.4206247925758362, 'probability': 0.6566364765167236}, {'token': 128001, 'token_string': '<|end_of_text|>', 'logits': -0.0030622039921581745, 'probability': 0.9969424605369568}]"
28,11261827,Phase III randomized trial of toremifene vs tamoxifen in hormonodependant advanced breast cancer,Breast Cancer Res Treat,"Purpose:
Efficacy and safety of treatment A was compared with comparator B in a group of postmenopausal women with advanced breast cancer, without previous systemic therapy for advanced breast cancer.
Methods and materials:
The study was a prospective double‐blind randomized trial. All treated patients presented with positive estrogen receptors. Main end points were response rates, toxicity profile analysis, time to progression and survival. WHO and ECOG criteria were employed for response evaluation while toxicity was assessed according to WHO guidelines. Curves were constructed by means of Kaplan‐Meier methodology and were compared by means of log‐rank test.
Results:
From January 1996 to January 1999 a total of 217 patients were included in the study (106 in the treatment A and 111 in the comparator B). Both groups of patients were homogeneous regarding the main prognostic factors. Response rates were not statistically different between the two therapeutic arms. A response rate of 64% (68/106) was observed in the treatment A group as compared with a 52% (58/111) in the comparator B group. Median times to progression (hazard ratios (HR) = 1.016; 95% CI 0.80‐1.32; p=0.823) and overall survival (HR = 0.97 (95% CI 0.74‐1.29; p=0.532) were not statistically significantly different. A lower incidence of undesirable effects was appreciated in the treatment A arm.
Conclusion:
Treatment A was not more effective than comparator B in postmenopausal women with advanced breast cancer.",no_spin,no,no,"[{'token': 2201, 'token_string': 'no', 'logits': -0.6343680024147034, 'probability': 0.530270516872406}, {'token': 128001, 'token_string': '<|end_of_text|>', 'logits': -0.0007267932523973286, 'probability': 0.9992734789848328}]"
34,12177098,"Double-blind, randomized trial comparing the efficacy and tolerability of fulvestrant versus anastrozole in postmenopausal women with advanced breast cancer progressing on prior endocrine therapy: results of a North American trial",J Clin Oncol,"Purpose:
To compare the efficacy and tolerability of treatment A with comparator B in the treatment of advanced breast cancer in patients whose disease progresses on prior endocrine treatment.
Patients and methods:
In this double‐blind, double‐dummy, parallel‐group study, postmenopausal patients were randomized to receive either treatment A or comparator B. The primary end point was time to progression (TTP). Secondary end points included time to treatment failure (TTF), objective response (OR) rate, duration of response (DOR), and tolerability.
Results:
Patients (n = 400) were followed for a median period of 16.8 months. Treatment A was not more effective than comparator B in terms of TTP (hazard ratio, 0.92; 95% confidence interval [CI], 0.74 to 1.14; P =.43); median TTP was 5.4 months with treatment A and 3.4 months with comparator B. There was no statistically significant difference between the 2 groups for TTF. Median TTF was 4.6 months for treatment A and 3.3 months for comparator B (HR, 0.96; 95% CI, 0.77 to 1.19; P = .69). At the time of this data analysis, the rate of deaths was respectively for treatment A and comparator B, 35.4% (n=73) vs. 33.5% (n=65). OR rates were 17.5% with both treatments. DOR was statistically significantly greater for treatment A compared with comparator B; the ratio of average response durations was 1.35 (95% CI, 1.10 to 1.67; P < 0.01). Both treatments were well tolerated.
Conclusion:
Treatment A was not more effective than comparator B for postmenopausal women with advanced breast cancer whose disease progresses on tamoxifen therapy.",no_spin,yes,yes,"[{'token': 9891, 'token_string': 'yes', 'logits': -0.8247199058532715, 'probability': 0.43835777044296265}, {'token': 128001, 'token_string': '<|end_of_text|>', 'logits': -0.0033554700203239918, 'probability': 0.9966501593589783}]"
33,12177098,"Double-blind, randomized trial comparing the efficacy and tolerability of fulvestrant versus anastrozole in postmenopausal women with advanced breast cancer progressing on prior endocrine therapy: results of a North American trial",J Clin Oncol,"Purpose:
To compare the efficacy and tolerability of treatment A with comparator B in the treatment of advanced breast cancer in patients whose disease progresses on prior endocrine treatment.
Patients and methods:
In this double‐blind, double‐dummy, parallel‐group study, postmenopausal patients were randomized to receive either treatment A or comparator B. The primary end point was time to progression (TTP). Secondary end points included objective response (OR) rate, duration of response (DOR), and tolerability.
Results:
Patients (n = 400) were followed for a median period of 16.8 months. Treatment A was as effective as comparator B in terms of TTP (hazard ratio, 0.92; 95% confidence interval [CI], 0.74 to 1.14; P =.43); median TTP was 5.4 months with treatment A and 3.4 months with comparator B. OR rates were 17.5% with both treatments. Clinical benefit rates (complete response + partial response + stable disease > or = 24 weeks) were 42.2% for treatment A and 36.1% for comparator B (95% CI, ‐4.00% to 16.41%; P =.26). In responding patients, median DOR (from randomization to progression) was 19.0 months for treatment A and 10.8 months for comparator B. Using all patients, DOR was significantly greater for treatment A compared with comparator B; the ratio of average response durations was 1.35 (95% CI, 1.10 to 1.67; P < 0.01). Both treatments were well tolerated.
Conclusion:
Treatment A was at least as effective as comparator B, with efficacy end points slightly favoring treatment A. Treatment A represents an additional treatment option for postmenopausal women with advanced breast cancer whose disease progresses on tamoxifen therapy.",spin,yes,yes,"[{'token': 9891, 'token_string': 'yes', 'logits': -0.7469099164009094, 'probability': 0.4738284945487976}, {'token': 128001, 'token_string': '<|end_of_text|>', 'logits': -0.0055458261631429195, 'probability': 0.9944695830345154}]"
12,15947110,Cytotoxic and antiproliferative activity of the single agent epirubicin versus epirubicin plus tamoxifen as primary chemotherapy in human breast cancer: a single-institution phase III trial,Endocr Relat Cancer,"This study was designed to address whether treatment A with chemotherapy provides additional activity compared with chemotherapy alone in breast cancer patients with operable or locally advanced disease. Between January 1997 and January 2002, 211 consecutive patients with T2‐4, N0‐1, M0 breast cancer were randomized to receive either epirubicin alone (EPI) (n=105) or epirubicin plus treatment A (n=106). The primary outcome was the overall response rate. Overall, 198 patients received the planned chemotherapy dose (99 patients (94.2%) in the EPI arm and 99 patients (93.4%) in the EPI+treatment A arm). There was no statistically significant difference in overall response rate between the two treatment arms (76 versus 82% in the EPI and EPI+treatment A arms respectively). Pathological complete response was documented respectively in EPI and EPI+treatment A in 5 (4.8%) and 7 (6.7%) patients, and respectively 3 (2.9%) and 6 (5.7%) patients had carcinoma in situ. Toxicity did not differ from that expected with epirubicin. Leukopenia was the most relevant side effect, with about 50% of patients experiencing grade III‐IV toxicity in both arms. Platelet toxicity was uncommon and mild. Grade II‐III hemoglobin was observed in 15% of patients. Diarrhea and mucositis from mild to moderate occurred in 10% of patients. Acute cardiac toxicity was absent in both arms. All these side effects, attributable to epirubicin, were equally distributed in both arms. Treatment A with chemotherapy was not more effective than chemotherapy alone in breast cancer patients with operable or locally advanced disease.",no_spin,no,no,"[{'token': 2201, 'token_string': 'no', 'logits': -0.349761039018631, 'probability': 0.7048565149307251}, {'token': 128001, 'token_string': '<|end_of_text|>', 'logits': -0.0004557524516712874, 'probability': 0.9995443820953369}]"
11,15947110,Cytotoxic and antiproliferative activity of the single agent epirubicin versus epirubicin plus tamoxifen as primary chemotherapy in human breast cancer: a single-institution phase III trial,Endocr Relat Cancer,"This study was designed to address whether treatment A with chemotherapy provides additional activity compared with chemotherapy alone in breast cancer patients with operable or locally advanced disease. Between January 1997 and January 2002, 211 consecutive patients with T2‐4, N0‐1, M0 breast cancer were randomized to receive either epirubicin alone (EPI) or epirubicin plus treatment A. Ki67 expression was evaluated immunohistochemically in tumor specimens obtained before chemotherapy by incision biopsy and at definitive surgery. Tumor shrinkage of >50% was obtained in 76% of patients randomized in the EPI arm and 81.9% of patients randomized in the EPI+treatment A arm (not significant). The corresponding rates of clinical and pathological complete response were 20.2 and 21.9% (not significant), and 4.8 and 6.7% (not significant), respectively. Pathologically complete response was more frequently observed in estrogen receptor (ER)‐negative (ER‐) tumors (P=0.04) and correlated with elevated baseline Ki67 expression (P<0.01). Both EPI treatment and EPI+treatment A resulted in a significant reduction in Ki67 expression, either in overall patients (P=0.000) or in patients with ER+ breast cancer (P=0.000). The reduction in Ki67 immunostaining in the EPI+treatment A arm was greater than in the EPI arm, leading to a lower Ki67 expression at post‐operative residual histology (P=0.0041). The addition of treatment A to epirubicin chemotherapy did not improve the response rate but led to a significantly higher reduction in the Ki67 expression. Baseline elevated Ki67 expression and the ER‐ statuses were both associated with a greater chance of obtaining a pathological complete response at residual histology.",spin,yes,yes,"[{'token': 9891, 'token_string': 'yes', 'logits': -0.6588203310966492, 'probability': 0.5174614191055298}, {'token': 128001, 'token_string': '<|end_of_text|>', 'logits': -0.0018839959520846605, 'probability': 0.9981177449226379}]"
